usernames,repo_name,stars,repo_url
realm,SwiftLint,17400,https://github.com/realm/SwiftLint
facebook,infer,14000,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,11300,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,8800,https://github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,7800,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,7700,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,6400,https://github.com/reviewdog/reviewdog
facebook,pyre-check,6400,https://github.com/facebook/pyre-check
detekt,detekt,5400,https://github.com/detekt/detekt
import-js,eslint-plugin-import,4800,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,4700,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4600,https://github.com/simplecov-ruby/simplecov
trekhleb,state-of-the-art-shitcode,4400,https://github.com/trekhleb/state-of-the-art-shitcode
pmd,pmd,4300,https://github.com/pmd/pmd
phpro,grumphp,3900,https://github.com/phpro/grumphp
kucherenko,jscpd,3100,https://github.com/kucherenko/jscpd
htmlhint,HTMLHint,2900,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2400,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2200,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://github.com/uber/piranha
